timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,gps_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
6669357,32767,32767,32767,32767,32767,32767,32767
6673346,32767,32767,32767,32767,-61,32767,32767
6697349,32767,32767,32767,32767,3,-221,32767
6701350,32767,32767,32767,32767,32767,-41,32767
6709390,32767,32767,32767,32767,32767,32767,32767
6713350,32767,32767,32767,32767,-57,32767,32767
6717405,32767,32767,32767,32767,32767,32767,32767
6721378,32767,32767,32767,32767,32767,32767,32767
6725354,32767,32767,32767,32767,32767,-61,32767
6729382,32767,32767,32767,32767,32767,32767,32767
6737346,32767,32767,32767,32767,32767,32767,32767
6749354,32767,32767,32767,32767,32767,32767,32767
6753349,32767,32767,32767,32767,-52,32767,32767
6757345,32767,32767,32767,32767,32767,32767,32767
6761350,32767,32767,32767,32767,32767,32767,32767
6765387,32767,32767,32767,32767,32767,32767,32767
6769380,32767,32767,32767,32767,32767,-69,32767
6773358,32767,32767,32767,32767,-49,32767,32767
6781345,32767,32767,32767,32767,32767,32767,32767
6785387,32767,32767,32767,32767,-68,32767,32767
6789355,32767,32767,32767,32767,32767,-53,32767
6793388,32767,32767,32767,32767,-47,32767,32767
6797388,32767,32767,32767,32767,32767,32767,32767
6801345,32767,32767,32767,32767,32767,32767,32767
6805396,32767,32767,32767,32767,32767,32767,32767
6809346,32767,32767,32767,32767,32767,32767,32767
6813385,32767,32767,32767,32767,-46,-77,32767
6817347,32767,32767,32767,32767,32767,32767,32767
6821436,32767,32767,32767,32767,32767,32767,32767
6825376,32767,32767,32767,32767,-65,32767,32767
6829349,32767,32767,32767,32767,32767,32767,32767
6833359,32767,32767,32767,32767,-45,-52,32767
6837346,32767,32767,32767,32767,32767,32767,32767
6845349,32767,32767,32767,32767,32767,32767,32767
6853346,32767,32767,32767,32767,-43,32767,32767
6857346,32767,32767,32767,32767,32767,-77,32767
6861353,32767,32767,32767,32767,32767,32767,32767
6865387,32767,32767,32767,32767,-61,32767,32767
6869388,32767,32767,32767,32767,32767,32767,32767
6873392,32767,32767,32767,32767,-40,32767,32767
6877412,32767,32767,32767,32767,32767,-62,32767
6881346,32767,32767,32767,32767,32767,32767,32767
6885386,32767,32767,32767,32767,32767,32767,32767
6893344,32767,32767,32767,32767,-37,32767,32767
6897390,32767,32767,32767,32767,32767,-46,32767
6901385,32767,32767,32767,32767,32767,32767,32767
6905389,32767,32767,32767,32767,-57,32767,32767
6909347,32767,32767,32767,32767,32767,32767,32767
6913346,32767,32767,32767,32767,-36,32767,32767
6917372,32767,32767,32767,32767,32767,32767,32767
6921347,32767,32767,32767,32767,32767,-68,32767
6925431,32767,32767,32767,32767,32767,32767,32767
6929357,32767,32767,32767,32767,32767,32767,32767
6933346,32767,32767,32767,32767,32767,32767,32767
6937346,32767,32767,32767,32767,-73,32767,32767
6941346,32767,32767,32767,32767,32767,-53,32767
