timestamp,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
6667216,191.66064,28.449999,99044.0,1.1768066
6697630,192.08606,28.449999,99038.99,1.1767471
6707682,191.32243,28.449999,99048.0,1.1768541
6728076,192.33972,28.449999,99036.0,1.1767116
6738125,192.08606,28.449999,99038.99,1.1767471
6748175,191.7452,28.449999,99043.0,1.1767946
6768467,192.42429,28.439999,99035.0,1.1766996
6778516,191.66064,28.439999,99044.0,1.1768066
6788607,191.9143,28.439999,99041.0,1.1767709
6808759,191.7452,28.439999,99043.0,1.1767946
6818814,191.57611,28.439999,99044.99,1.1768184
6828866,192.00151,28.439999,99040.0,1.176759
6849084,191.15334,28.439999,99050.0,1.1768779
6859289,191.49153,28.439999,99046.0,1.1768303
6869344,191.66064,28.439999,99044.0,1.1768066
6889634,191.57611,28.439999,99044.99,1.1768184
6899685,192.08606,28.439999,99038.99,1.1767471
6909738,192.00151,28.439999,99040.0,1.176759
6930061,191.7452,28.439999,99043.0,1.1767946
6940112,192.08606,28.439999,99038.99,1.1767471
6950442,191.49153,28.439999,99046.0,1.1768303
6970547,191.66064,28.43,99044.0,1.1768066
6980643,191.57611,28.43,99044.99,1.1768184
6990816,191.66064,28.43,99044.0,1.1768066
7010921,191.82976,28.43,99042.0,1.1767828
7020981,191.57611,28.43,99044.99,1.1768184
7031219,191.7452,28.43,99043.0,1.1767946
7051374,191.82976,28.42,99042.0,1.1767828
7061433,191.32243,28.42,99048.0,1.1768541
7071485,192.33972,28.42,99036.0,1.1767116
7091640,191.7452,28.42,99043.0,1.1767946
7101691,191.7452,28.42,99043.0,1.1767946
7111748,192.08606,28.42,99038.99,1.1767471
7132004,191.407,28.42,99047.0,1.1768422
7142058,191.66064,28.42,99044.0,1.1768066
7152109,191.7452,28.42,99043.0,1.1767946
7172483,191.7452,28.41,99043.0,1.1767946
7182533,191.407,28.41,99047.0,1.1768422
7192813,191.9143,28.41,99041.0,1.1767709
7212961,191.49153,28.41,99046.0,1.1768303
7223231,192.00151,28.41,99040.0,1.176759
7233339,191.66064,28.41,99044.0,1.1768066
7253442,192.17061,28.41,99038.0,1.1767353
7263629,191.66064,28.41,99044.0,1.1768066
7273677,191.9143,28.41,99041.0,1.1767709
7293814,191.57611,28.41,99044.99,1.1768184
7304002,191.407,28.41,99047.0,1.1768422
7314079,191.82976,28.41,99042.0,1.1767828
7334447,191.57611,28.41,99044.99,1.1768184
7344497,192.08606,28.41,99038.99,1.1767471
7354547,191.57611,28.41,99044.99,1.1768184
7374921,191.57611,28.4,99044.99,1.1768184
7384975,191.66064,28.4,99044.0,1.1768066
7395372,192.42429,28.4,99035.0,1.1766996
7415637,191.7452,28.4,99043.0,1.1767946
7425681,191.407,28.4,99047.0,1.1768422
7435730,192.08606,28.4,99038.99,1.1767471
7456025,191.7452,28.4,99043.0,1.1767946
7466086,192.17061,28.4,99038.0,1.1767353
7476152,192.42429,28.4,99035.0,1.1766996
7496477,191.57611,28.39,99044.99,1.1768184
7506539,191.7452,28.39,99043.0,1.1767946
7516814,192.08606,28.39,99038.99,1.1767471
7536917,192.50883,28.39,99034.0,1.1766877
7547259,191.9143,28.39,99041.0,1.1767709
7557323,191.407,28.39,99047.0,1.1768422
7577660,191.82976,28.39,99042.0,1.1767828
7587748,191.9143,28.39,99041.0,1.1767709
