timestamp,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
11792577,0.15798667,-0.00043309949,-0.0063522332,0.98742074,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
11848543,0.1604861,-0.0011416598,-0.0071566645,0.9870115,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
11897343,0.1629501,-0.0010755474,-0.011515321,0.98656654,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
11953346,0.16511926,-0.0009044435,-0.014548008,0.98616594,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
12005387,0.16409576,-0.0011368324,-0.014699454,0.98633426,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
12057349,0.16591501,-0.0013051324,-0.011286425,0.9860747,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
12109347,0.16657776,-0.0014161795,-0.0074037053,0.9859996,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
12161377,0.16532691,-0.00086245494,-0.0081829345,0.98620456,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
12213346,0.16606538,-6.891565e-05,-0.0070272326,0.9860897,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
12265387,0.1691785,-0.00019081801,-0.00890501,0.9855452,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
12317350,0.1696382,-0.00053410744,-0.01033302,0.9854521,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
12369348,0.17099805,-0.00022369403,-0.009428243,0.98522633,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
12421402,0.17231683,-0.00011703348,-0.009497834,0.9849958,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
12474146,0.1718152,0.00085017167,-0.009862099,0.9850795,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
12526146,0.16999377,0.0007174854,-0.008109837,0.9854115,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
12578145,0.17183536,0.0007362562,-0.0046952534,0.9851142,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
12630149,0.17354093,0.0008273208,-0.0058007,0.9848092,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
12682143,0.17460845,0.002180975,-0.010358697,0.9845811,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
12734149,0.17734838,0.0025022326,-0.01116965,0.98408157,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
12786192,0.17960817,0.0025505207,-0.0108171,0.9836755,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
12838143,0.1812554,0.0019546954,-0.009177774,0.9833913,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
12890143,0.18167715,0.0022146143,-0.005307702,0.98334146,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
12942943,0.18587117,0.0022862125,-0.005512702,0.9825561,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
12995001,0.18840772,0.004247521,-0.007319179,0.9820545,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
13046946,0.19389789,0.002769562,-0.01098094,0.9809564,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
13098943,0.19828923,0.0017567718,-0.011025582,0.98007995,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
13150946,0.20207499,0.0011705086,-0.011384198,0.97930324,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
