timestamp,alt_max,freefall,ground_contact,maybe_landed,landed,in_ground_effect
6625361,inf,0,1,1,1,0
7625362,inf,0,1,1,1,0
8625976,inf,0,1,1,1,0
9645708,inf,0,1,1,1,0
10645713,inf,0,1,1,1,0
11646094,inf,0,1,1,1,0
12665450,inf,0,1,1,1,0
13685365,inf,0,1,1,1,0
14686030,inf,0,1,1,1,0
15705455,inf,0,1,1,1,0
16705960,inf,0,1,1,1,0
17725629,inf,0,1,1,1,0
18725796,inf,0,1,1,1,0
19726013,inf,0,1,1,1,0
20745364,inf,0,1,1,1,0
21745756,inf,0,1,1,1,0
22746830,inf,0,1,1,1,0
23765366,inf,0,1,1,1,0
24765697,inf,0,1,1,1,0
25785336,inf,0,1,1,1,0
26785341,inf,0,1,1,1,0
27787310,inf,0,1,1,1,0
28805341,inf,0,1,1,1,0
29805347,inf,0,1,1,1,0
30806123,inf,0,1,1,1,0
31825340,inf,0,1,1,1,0
32826464,inf,0,1,1,1,0
33826808,inf,0,1,1,1,0
34845336,inf,0,1,1,1,0
35846720,inf,0,1,1,1,0
36865336,inf,0,1,1,1,0
37865338,inf,0,1,1,1,0
38885341,inf,0,1,1,1,0
39885724,inf,0,1,1,1,0
40905343,inf,0,1,1,1,0
41926916,inf,0,1,1,1,0
42945345,inf,0,1,1,1,0
43965315,inf,0,1,1,1,0
44965720,inf,0,1,1,1,0
45985336,inf,0,1,1,1,0
47005691,inf,0,1,1,1,0
48025336,inf,0,1,1,1,0
49025341,inf,0,1,1,1,0
50027534,inf,0,1,1,1,0
51045340,inf,0,1,1,1,0
52046782,inf,0,1,1,1,0
53065349,inf,0,1,1,1,0
54065633,inf,0,1,1,1,0
55065776,inf,0,1,1,1,0
56085336,inf,0,1,1,1,0
57085342,inf,0,1,1,1,0
58086584,inf,0,1,1,1,0
59105340,inf,0,1,1,1,0
60105704,inf,0,1,1,1,0
61106925,inf,0,1,1,1,0
62125308,inf,0,1,1,1,0
63125714,inf,0,1,1,1,0
64145766,inf,0,1,1,1,0
65165336,inf,0,1,1,1,0
66165347,inf,0,1,1,1,0
67185336,inf,0,1,1,1,0
68205347,inf,0,1,1,1,0
69206096,inf,0,1,1,1,0
70225343,inf,0,1,1,1,0
71226049,inf,0,1,1,1,0
72245336,inf,0,1,1,1,0
73245339,inf,0,1,1,1,0
74245343,inf,0,1,1,1,0
75265336,inf,0,1,1,1,0
76265340,inf,0,1,1,1,0
77266835,inf,0,1,1,1,0
78285336,inf,0,1,1,1,0
79285772,inf,0,1,1,1,0
80286691,inf,0,1,1,1,0
81305348,inf,0,1,1,1,0
82306047,inf,0,1,1,1,0
83325345,inf,0,1,1,1,0
84325737,inf,0,1,1,1,0
85346506,inf,0,1,1,1,0
86365340,inf,0,1,1,1,0
87365726,inf,0,1,1,1,0
88385667,inf,0,1,1,1,0
89385802,inf,0,1,1,1,0
90386424,inf,0,1,1,1,0
91405348,inf,0,1,1,1,0
92425336,inf,0,1,1,1,0
93425337,inf,0,1,1,1,0
94425694,inf,0,1,1,1,0
95445716,inf,0,1,1,1,0
96445767,inf,0,1,1,1,0
97465336,inf,0,1,1,1,0
98465336,inf,0,1,1,1,0
99465735,inf,0,1,1,1,0
100485337,inf,0,1,1,1,0
101505889,inf,0,1,1,1,0
102507327,inf,0,1,1,1,0
103525325,inf,0,1,1,1,0
104526658,inf,0,1,1,1,0
105545302,inf,0,1,1,1,0
106545340,inf,0,1,1,1,0
107546558,inf,0,1,1,1,0
108565336,inf,0,1,1,1,0
109565871,inf,0,1,1,1,0
110566482,inf,0,1,1,1,0
111585297,inf,0,1,1,1,0
112586634,inf,0,1,1,1,0
113605726,inf,0,1,1,1,0
114625329,inf,0,1,1,1,0
115625344,inf,0,1,1,1,0
116625364,inf,0,1,1,1,0
117645336,inf,0,1,1,1,0
118645858,inf,0,1,1,1,0
119665343,inf,0,1,1,1,0
120685343,inf,0,1,1,1,0
121686510,inf,0,1,1,1,0
122705637,inf,0,1,1,1,0
123706546,inf,0,1,1,1,0
124725336,inf,0,1,1,1,0
125745298,inf,0,1,1,1,0
126745336,inf,0,1,1,1,0
127745340,inf,0,1,1,1,0
128746607,inf,0,1,1,1,0
129765336,inf,0,1,1,1,0
130765706,inf,0,1,1,1,0
131785339,inf,0,1,1,1,0
132785342,inf,0,1,1,1,0
133785346,inf,0,1,1,1,0
134805346,inf,0,1,1,1,0
135805720,inf,0,1,1,1,0
136825331,inf,0,1,1,1,0
137825340,inf,0,1,1,1,0
138825761,inf,0,1,1,1,0
139825941,inf,0,1,1,1,0
140845347,inf,0,1,1,1,0
141865336,inf,0,1,1,1,0
142865336,inf,0,1,1,1,0
143865341,inf,0,1,1,1,0
144885579,inf,0,1,1,1,0
145906729,inf,0,1,1,1,0
146925730,inf,0,1,1,1,0
147925889,inf,0,1,1,1,0
148945336,inf,0,1,1,1,0
149945336,inf,0,1,1,1,0
150945651,inf,0,1,1,1,0
