timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,yaw,ref_alt,dist_bottom,dist_bottom_rate,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
11247743,0,0.0,0.0,0.0,0.0,0.52296054,3.323168e-05,8.524516e-06,0.0,0.12254531,-0.0718518,-0.08021415,0.01644928,0.008307921,0.0021311291,0.0,-1.3953038,0.060531586,0.085917234,2.840307,0.0,0.15603226,0.08021415,0.1820675,0.36161825,0.27279404,0.26787624,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
11343746,0,0.0,0.0,0.0,0.0,0.5161169,3.323168e-05,8.524516e-06,0.0,-0.082585685,-0.03333933,-0.05735745,0.027971009,0.008307921,0.0021311291,0.0,-0.77724594,0.6989217,-1.0332583,2.8385174,0.0,0.16287589,0.05735745,0.17937934,0.35942644,0.25009024,0.26339576,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
11448543,0,0.0,0.0,0.0,0.0,0.51440996,3.323168e-05,8.524516e-06,0.0,0.11748308,-0.008938773,-0.07015698,0.011070259,0.008307921,0.0021311291,0.0,5.630281,0.011350089,-0.79174125,2.8366644,0.0,0.16458285,0.07015698,0.17749177,0.35895246,0.24016684,0.25957474,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
11552543,0,0.0,0.0,0.0,0.0,0.51664376,3.323168e-05,8.524516e-06,0.0,0.19415487,-0.02004259,-0.06935137,0.012422342,0.008307921,0.0021311291,0.0,-2.2075384,0.3420915,0.12527679,2.8304,0.0,0.16234905,0.06935137,0.17545657,0.3585681,0.24324968,0.25579226,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
11648588,0,0.0,0.0,0.0,0.0,0.51758736,3.323168e-05,8.524516e-06,0.0,-0.0005611207,-0.043818094,-0.056562755,0.02431657,0.008307921,0.0021311291,0.0,-0.45759332,0.2601993,0.9466814,2.8256733,0.0,0.16140544,0.056562755,0.17225905,0.35628626,0.25303894,0.25141203,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
11752573,0,0.0,0.0,0.0,0.0,0.51843584,3.323168e-05,8.524516e-06,0.0,0.20135091,-0.071818024,-0.059714034,0.019917063,0.008307921,0.0021311291,0.0,1.282683,1.6154443,1.1846007,2.8307981,0.0,0.16055697,0.059714034,0.17146237,0.3556549,0.2715198,0.24763429,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
11856585,0,0.0,0.0,0.0,0.0,0.5123962,3.323168e-05,8.524516e-06,0.0,0.22223185,0.09193378,-0.044453844,0.026176028,0.008307921,0.0021311291,0.0,-0.95475924,0.21851204,-0.06604827,2.8182745,0.0,0.16659659,0.044453844,0.17196354,0.35494763,0.29382733,0.24391098,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
11953346,0,0.0,0.0,0.0,0.0,0.5009237,3.323168e-05,8.524516e-06,0.0,0.15835488,-0.010417595,-0.06500773,-0.00684583,0.008307921,0.0021311291,0.0,-0.3986466,-4.0671,1.354785,2.809843,0.0,0.17806911,0.06500773,0.17237364,0.35264802,0.31333604,0.23980017,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
12057349,0,0.0,0.0,0.0,0.0,0.49107713,3.323168e-05,8.524516e-06,0.0,0.14776088,-0.14824595,-0.07517757,-0.023733448,0.008307921,0.0021311291,0.0,-0.915682,0.22769554,0.069965474,2.8082125,0.0,0.18791568,0.07517757,0.17091182,0.34682554,0.32959196,0.2336624,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
12161377,0,0.0,0.0,0.0,0.0,0.48428914,3.323168e-05,8.524516e-06,0.0,0.09071069,-0.081505805,-0.09735176,-0.047476135,0.008307921,0.0021311291,0.0,0.38589925,1.0172192,-0.12475974,2.8094106,0.0,0.19470367,0.09735176,0.17516287,0.34612572,0.34768513,0.2301798,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
12257397,0,0.0,0.0,0.0,0.0,0.4856872,3.323168e-05,8.524516e-06,0.0,0.17245379,0.032968793,-0.0916448,-0.037618633,0.008307921,0.0021311291,0.0,1.4757818,0.38181743,-1.179438,2.8021097,0.0,0.19330561,0.0916448,0.17802644,0.34392762,0.35731417,0.22626805,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
12361387,0,0.0,0.0,0.0,0.0,0.48305616,3.323168e-05,8.524516e-06,0.0,0.10764425,-0.021809915,-0.07435796,-0.019905284,0.008307921,0.0021311291,0.0,-1.5170807,-0.40721667,0.1370417,2.798456,0.0,0.19593665,0.07435796,0.1828561,0.34319025,0.36400077,0.22287282,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
12465393,0,0.0,0.0,0.0,0.0,0.47571552,3.323168e-05,8.524516e-06,0.0,0.014175835,-0.0692671,-0.09639095,-0.046223573,0.008307921,0.0021311291,0.0,0.9097067,-0.3788637,-0.58973414,2.795903,0.0,0.20327729,0.09639095,0.18727925,0.34240818,0.36675236,0.21958297,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
12562180,0,0.0,0.0,0.0,0.0,0.47035742,3.323168e-05,8.524516e-06,0.0,0.11156228,-0.059544813,-0.072769225,-0.023179948,0.008307921,0.0021311291,0.0,-0.4250485,1.2759929,0.39176786,2.7989748,0.0,0.20863539,0.072769225,0.18843924,0.3400799,0.36121756,0.21579058,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
12666179,0,0.0,0.0,0.0,0.0,0.4620702,3.323168e-05,8.524516e-06,0.0,0.025113383,0.08875438,-0.076806396,-0.032170177,0.008307921,0.0021311291,0.0,0.3911467,-0.6330348,-0.5009207,2.792449,0.0,0.21692261,0.076806396,0.19199921,0.33951038,0.35700879,0.21267475,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
12770194,0,0.0,0.0,0.0,0.0,0.45197085,3.323168e-05,8.524516e-06,0.0,0.048442855,-0.014211618,-0.08374499,-0.044720754,0.008307921,0.0021311291,0.0,0.3696108,-0.63917965,-0.48215666,2.7824497,0.0,0.22702196,0.08374499,0.19407973,0.33869785,0.34768796,0.20954812,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
12874218,0,0.0,0.0,0.0,0.0,0.4427325,3.323168e-05,8.524516e-06,0.0,-0.043660067,-0.08071792,-0.10047252,-0.062379345,0.008307921,0.0021311291,0.0,-2.1169584,0.14451769,1.3877566,2.7770808,0.0,0.2362603,0.10047252,0.18879578,0.3332823,0.32893685,0.20446764,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
12970945,0,0.0,0.0,0.0,0.0,0.43891284,3.323168e-05,8.524516e-06,0.0,-0.03955451,0.07715151,-0.12529767,-0.08625544,0.008307921,0.0021311291,0.0,1.2967979,0.31068814,-1.2264825,2.764303,0.0,0.24007997,0.12529767,0.18753286,0.33124232,0.31602487,0.20118468,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
13074943,0,0.0,0.0,0.0,0.0,0.43601954,3.323168e-05,8.524516e-06,0.0,0.12106743,0.055835832,-0.09842281,-0.056268767,0.008307921,0.0021311291,0.0,-0.6517927,-0.69866294,-1.6625822,2.7467597,0.0,0.24297327,0.09842281,0.18826874,0.33075187,0.30374217,0.1983701,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
13170943,0,0.0,0.0,0.0,0.0,0.4325725,3.323168e-05,8.524516e-06,0.0,-0.08398546,-0.032832824,-0.11145423,-0.068007864,0.008307921,0.0021311291,0.0,-2.5237367,-2.314578,-0.5946942,2.734518,0.0,0.2464203,0.11145423,0.18590327,0.3286984,0.2898724,0.19524178,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
13274943,0,0.0,0.0,0.0,0.0,0.43262786,3.323168e-05,8.524516e-06,0.0,-0.06084091,-0.10081642,-0.11820322,-0.06851292,0.008307921,0.0021311291,0.0,1.335627,-0.9495212,0.903624,2.734695,0.0,0.24636495,0.11820322,0.18528777,0.32799375,0.27726212,0.19254151,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
13379002,0,0.0,0.0,0.0,0.0,0.42947897,3.323168e-05,8.524516e-06,0.0,-0.0046029026,0.029425697,-0.09718703,-0.04562896,0.008307921,0.0021311291,0.0,-1.6777169,0.8604942,0.8021436,2.7299764,0.0,0.24951383,0.09718703,0.18406399,0.32719377,0.26468092,0.18978038,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
