timestamp,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,arspd_check_level,load_factor_ratio,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,vehicle_type,is_vtol,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,rc_input_mode,data_link_lost,data_link_lost_counter,high_latency_data_link_lost,engine_failure,mission_failure,failure_detector_status,aspd_check_failing,aspd_fault_declared,aspd_use_inhibit,aspd_fail_rtl
6140018,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7149946,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8154018,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9154622,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10163526,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11170673,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11254610,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12263523,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13272945,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14274754,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15284521,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16286510,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17286655,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18293273,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
19301875,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20304185,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
21308306,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22313934,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23323718,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
24327440,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
25327677,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
26332317,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
27333766,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
28342593,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
29352403,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
30353196,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
31360327,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
32369165,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
33379603,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
34380487,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
35388996,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
36399436,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
37401163,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
38405241,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
39408053,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
40413970,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
41418035,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
42421161,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
43430217,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
44436173,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
45445267,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
46445955,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
47452140,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
48452307,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
49458897,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
50468508,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
51477798,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
52478078,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
53489115,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
54490221,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
55491641,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
